model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
ortho_layer_ica,bandlimited_highpass,0.5,1.0,0.020840868,0.074848264,0.17023467,0.038845982,-3.0978786945343018,0.00114269251935184,777
ortho_layer_ica,bandlimited_highpass,1.0,1.0,0.021002647,0.075383164,0.17145073,0.036782976,-3.097085952758789,0.0016925238305702806,777
ortho_layer_ica,spatial_block_noise,0.0,1.0,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,spatial_block_noise,0.0,0.5,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,spatial_block_noise,0.0,0.25,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,spatial_block_noise,0.1,1.0,0.008167392,0.038192786,0.09965423,0.044096828,-3.17116379737854,0.005806426052004099,777
ortho_layer_ica,spatial_block_noise,0.2,1.0,0.008462812,0.038690653,0.100753486,0.046426117,-3.1690125465393066,0.005591057240962982,777
ortho_layer_ica,spatial_block_noise,0.5,1.0,0.0083979415,0.038471468,0.100585006,0.045840167,-3.1682374477386475,0.006037660874426365,777
ortho_layer_ica,spatial_block_noise,1.0,1.0,0.008322667,0.03810541,0.09994474,0.04600196,-3.167851448059082,0.00484205037355423,777
fourier,partial_random,0.0,1.0,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,partial_random,0.0,0.5,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,partial_random,0.0,0.25,0.000100384816,0.0036108955,0.010720048,0.0055087437,,,777
fourier,partial_random,0.1,1.0,0.07145075,0.18262947,0.3187665,0.05425924,,,777
fourier,partial_random,0.1,0.5,0.025328973,0.09531462,0.18717879,0.044314217,,,777
fourier,partial_random,0.1,0.25,0.011290083,0.05209618,0.1225758,0.0382105,,,777
fourier,partial_random,0.2,1.0,0.35407367,0.41864574,0.7109157,0.11406721,,,777
